Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.6357857955529579
100% Corpus,2,0.01,0.31,0.5777187970749348
100% Corpus,2,0.01,0.61,0.5537190055724976
100% Corpus,2,0.01,0.9099999999999999,0.5912138407460803
100% Corpus,2,0.01,symmetric,0.5716840044825405
100% Corpus,2,0.31,0.01,0.6444863970377612
100% Corpus,2,0.31,0.31,0.604648813989323
100% Corpus,2,0.31,0.61,0.5838213954445695
100% Corpus,2,0.31,0.9099999999999999,0.5814263791962156
100% Corpus,2,0.31,symmetric,0.5758717434025469
100% Corpus,2,0.61,0.01,0.6263979397950337
100% Corpus,2,0.61,0.31,0.6125959064622661
100% Corpus,2,0.61,0.61,0.6133277185094157
100% Corpus,2,0.61,0.9099999999999999,0.6167004061441674
100% Corpus,2,0.61,symmetric,0.5849694203315251
100% Corpus,2,0.9099999999999999,0.01,0.6246598952661713
100% Corpus,2,0.9099999999999999,0.31,0.6125959064622661
100% Corpus,2,0.9099999999999999,0.61,0.6125959064622661
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.6125959064622661
100% Corpus,2,0.9099999999999999,symmetric,0.6125959064622661
100% Corpus,2,symmetric,0.01,0.6263979397950337
100% Corpus,2,symmetric,0.31,0.608037663952117
100% Corpus,2,symmetric,0.61,0.606101941842526
100% Corpus,2,symmetric,0.9099999999999999,0.5849694203315252
100% Corpus,2,symmetric,symmetric,0.5838213954445695
100% Corpus,2,asymmetric,0.01,0.6682120897518002
100% Corpus,2,asymmetric,0.31,0.6386364205642359
100% Corpus,2,asymmetric,0.61,0.6605766525935468
100% Corpus,2,asymmetric,0.9099999999999999,0.6587725230484733
100% Corpus,2,asymmetric,symmetric,0.6535834432398846
100% Corpus,3,0.01,0.01,0.5893164524559007
100% Corpus,3,0.01,0.31,0.5752382659247769
100% Corpus,3,0.01,0.61,0.606103312888768
100% Corpus,3,0.01,0.9099999999999999,0.6375210736732703
100% Corpus,3,0.01,symmetric,0.5950940595138042
100% Corpus,3,0.31,0.01,0.6318501188679875
100% Corpus,3,0.31,0.31,0.5963878645747208
100% Corpus,3,0.31,0.61,0.6494692788679872
100% Corpus,3,0.31,0.9099999999999999,0.632587881183422
100% Corpus,3,0.31,symmetric,0.6085700722498514
100% Corpus,3,0.61,0.01,0.625040014712683
100% Corpus,3,0.61,0.31,0.6191469717837321
100% Corpus,3,0.61,0.61,0.6184508548927836
100% Corpus,3,0.61,0.9099999999999999,0.6024463767394433
100% Corpus,3,0.61,symmetric,0.6155525380983532
100% Corpus,3,0.9099999999999999,0.01,0.5995601614174838
100% Corpus,3,0.9099999999999999,0.31,0.6259156561168774
100% Corpus,3,0.9099999999999999,0.61,0.6221981132258265
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5734626995347759
100% Corpus,3,0.9099999999999999,symmetric,0.6288406031704016
100% Corpus,3,symmetric,0.01,0.6464696125656881
100% Corpus,3,symmetric,0.31,0.5927274737030156
100% Corpus,3,symmetric,0.61,0.6027075843282937
100% Corpus,3,symmetric,0.9099999999999999,0.5801027967087052
100% Corpus,3,symmetric,symmetric,0.5935595499672902
100% Corpus,3,asymmetric,0.01,0.6755551277185576
100% Corpus,3,asymmetric,0.31,0.7059827622401702
100% Corpus,3,asymmetric,0.61,0.6944460906835938
100% Corpus,3,asymmetric,0.9099999999999999,0.5923012716359459
100% Corpus,3,asymmetric,symmetric,0.7023840501518648
100% Corpus,4,0.01,0.01,0.5911155846037972
100% Corpus,4,0.01,0.31,0.6001620690948044
100% Corpus,4,0.01,0.61,0.5709346550817216
100% Corpus,4,0.01,0.9099999999999999,0.599084069183222
100% Corpus,4,0.01,symmetric,0.5981411481577459
100% Corpus,4,0.31,0.01,0.6247272021568956
100% Corpus,4,0.31,0.31,0.6049683540077232
100% Corpus,4,0.31,0.61,0.5360588241382753
100% Corpus,4,0.31,0.9099999999999999,0.5652385731178827
100% Corpus,4,0.31,symmetric,0.6257584018054131
100% Corpus,4,0.61,0.01,0.6228500071181716
100% Corpus,4,0.61,0.31,0.6318930205241116
100% Corpus,4,0.61,0.61,0.6149571402917218
100% Corpus,4,0.61,0.9099999999999999,0.5939284219532674
100% Corpus,4,0.61,symmetric,0.6204712294924727
100% Corpus,4,0.9099999999999999,0.01,0.6553899470572838
100% Corpus,4,0.9099999999999999,0.31,0.6396025363900012
100% Corpus,4,0.9099999999999999,0.61,0.643228050456921
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5806348972029365
100% Corpus,4,0.9099999999999999,symmetric,0.6145652922193134
100% Corpus,4,symmetric,0.01,0.6052727418348547
100% Corpus,4,symmetric,0.31,0.5872057602322918
100% Corpus,4,symmetric,0.61,0.5241461901733538
100% Corpus,4,symmetric,0.9099999999999999,0.558162608517655
100% Corpus,4,symmetric,symmetric,0.6110077039208569
100% Corpus,4,asymmetric,0.01,0.6866723248828619
100% Corpus,4,asymmetric,0.31,0.6756464066145416
100% Corpus,4,asymmetric,0.61,0.6259725079014913
100% Corpus,4,asymmetric,0.9099999999999999,0.6059895185651059
100% Corpus,4,asymmetric,symmetric,0.6939846442313335
100% Corpus,5,0.01,0.01,0.614550195818656
100% Corpus,5,0.01,0.31,0.5913683700420236
100% Corpus,5,0.01,0.61,0.5970849086603118
100% Corpus,5,0.01,0.9099999999999999,0.6142942669266125
100% Corpus,5,0.01,symmetric,0.595709402911798
100% Corpus,5,0.31,0.01,0.5938185318763552
100% Corpus,5,0.31,0.31,0.5432969261300911
100% Corpus,5,0.31,0.61,0.5196068586027438
100% Corpus,5,0.31,0.9099999999999999,0.5720683276791038
100% Corpus,5,0.31,symmetric,0.5843537139849169
100% Corpus,5,0.61,0.01,0.6132208676827346
100% Corpus,5,0.61,0.31,0.5949337026887421
100% Corpus,5,0.61,0.61,0.5958074860289071
100% Corpus,5,0.61,0.9099999999999999,0.5426027899368387
100% Corpus,5,0.61,symmetric,0.6056976917501269
100% Corpus,5,0.9099999999999999,0.01,0.6312424629955985
100% Corpus,5,0.9099999999999999,0.31,0.6126990334738716
100% Corpus,5,0.9099999999999999,0.61,0.6134071914356932
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5825782436981539
100% Corpus,5,0.9099999999999999,symmetric,0.6132432576836999
100% Corpus,5,symmetric,0.01,0.5760593206400089
100% Corpus,5,symmetric,0.31,0.5587122812554899
