Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,2,0.01,0.01,0.6284530745826455,-21.209499204314515
100% Corpus,2,0.01,0.31,0.6347921634298863,-7.268903723638228
100% Corpus,2,0.01,0.61,0.6270534881931233,-7.269150090104489
100% Corpus,2,0.01,0.9099999999999999,0.6354761558805818,-7.295883989744348
100% Corpus,2,0.01,symmetric,0.6390642372039572,-7.277123041432348
100% Corpus,2,0.31,0.01,0.6535535406978858,-22.327611913742228
100% Corpus,2,0.31,0.31,0.6497352483304009,-7.22857738922558
100% Corpus,2,0.31,0.61,0.6366393535387939,-7.252274915505565
100% Corpus,2,0.31,0.9099999999999999,0.6347852913838673,-7.314703249472897
100% Corpus,2,0.31,symmetric,0.6358823387331656,-7.238139695263306
100% Corpus,2,0.61,0.01,0.667774120807374,-22.320651011680404
100% Corpus,2,0.61,0.31,0.6298903322651641,-7.223012698588778
100% Corpus,2,0.61,0.61,0.6450455555371254,-7.25053275011341
100% Corpus,2,0.61,0.9099999999999999,0.6493552976582636,-7.287905695658535
100% Corpus,2,0.61,symmetric,0.6283776692910512,-7.237666971863592
100% Corpus,2,0.9099999999999999,0.01,0.6859627910232045,-22.318926394602965
100% Corpus,2,0.9099999999999999,0.31,0.6292944344390081,-7.248840838854727
100% Corpus,2,0.9099999999999999,0.61,0.6298903322651641,-7.25202687923389
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.6387982535894495,-7.288782804205368
100% Corpus,2,0.9099999999999999,symmetric,0.6467055308584474,-7.24891069489132
100% Corpus,2,symmetric,0.01,0.6617545241576177,-22.307289189498935
100% Corpus,2,symmetric,0.31,0.6238762443197471,-7.223635285077795
100% Corpus,2,symmetric,0.61,0.6283011408866384,-7.251713592701355
100% Corpus,2,symmetric,0.9099999999999999,0.6495571556748656,-7.290395842311787
100% Corpus,2,symmetric,symmetric,0.631685734103073,-7.241166313451021
100% Corpus,2,asymmetric,0.01,0.6094332671899096,-22.349527632801152
100% Corpus,2,asymmetric,0.31,0.6260270372231899,-7.229241402663329
100% Corpus,2,asymmetric,0.61,0.6234184431665966,-7.2616191910759476
100% Corpus,2,asymmetric,0.9099999999999999,0.6148012437526309,-7.28841446451829
100% Corpus,2,asymmetric,symmetric,0.6214067048579237,-7.249780289399599
100% Corpus,3,0.01,0.01,0.636666617528112,-22.793660030168606
100% Corpus,3,0.01,0.31,0.6179929997690322,-7.335094450265012
100% Corpus,3,0.01,0.61,0.6328938955750784,-7.332108416634132
100% Corpus,3,0.01,0.9099999999999999,0.6111846436590743,-7.370213267812149
100% Corpus,3,0.01,symmetric,0.6101012844376764,-7.35638760051671
100% Corpus,3,0.31,0.01,0.6409644225950154,-22.281937360336318
100% Corpus,3,0.31,0.31,0.6302660017136604,-7.267252493537125
100% Corpus,3,0.31,0.61,0.6313916662201785,-7.2964348076764765
100% Corpus,3,0.31,0.9099999999999999,0.6080510504289836,-7.35687755606247
100% Corpus,3,0.31,symmetric,0.6327831433976021,-7.26120365045671
100% Corpus,3,0.61,0.01,0.6536928064097881,-22.253598310662525
100% Corpus,3,0.61,0.31,0.6533583341122168,-7.253003822977948
100% Corpus,3,0.61,0.61,0.6484213656312359,-7.295797114593934
